table_catalog,table_schema,table_name,column_name,data_type
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,COMPANY,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,CLLI,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,TID,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,NE_ID,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,PLATFORM,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,MANAGEMENT,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,LEGACY_NETWORK,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,DATA_SOURCE,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,PARENT_AID,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,PARENT_VPN,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,CHILD_AID,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,CHILD_VPN,STRING
rpt-network-plng,rpt_network_data,BRIGHTSPEED_WAVE_HARVESTING,PULLDATE,DATE
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,CATEGORY,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,VENDOR,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,ELEMENT,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,ID,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,START_DATE,TIMESTAMP
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,END_DATE,TIMESTAMP
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,CAPACITY_BPS,FLOAT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,PEAK_IN_RATE,FLOAT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_IN_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,PEAK_OUT_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_OUT_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_WEEK_5HIGH_IN_RATE,FLOAT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_WEEK_5HIGH_OUT_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,PERCENTILE_IN_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,PERCENTILE_OUT_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,HOUR_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER50_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER60_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER65_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER70_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER80_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER90_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,OVER100_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_DAY_5HIGH_IN_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,AVG_DAY_5HIGH_OUT_RATE,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER50_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER60_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER65_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER70_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER80_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER90_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_OVER100_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,DAY_COUNT,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,CAPACITY_IN_BPS,FLOAT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,CAPACITY_OUT_BPS,FLOAT64
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,ELEMENT_HASH,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_BIWEEK,ID_HASH,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DB2,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,ST,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,EXCHANGE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,SITE_KEY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,SITE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEVICE_NAME,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INT_DEV_NM,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,MODEL,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEVICE_GRP,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEVICE_TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,CORE_OR_ACCESS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,LOCATION_ID,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEV_LOCN,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,TRANSPORT_MEDIUM,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,TRANSPORT,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,PREQUALRATE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,MGMT_IP,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,SITE_RESTRICTED,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEV_AVLBL_IND,BOOL
rpt-network-plng,rpt_network_data,bbc_port_consumption,IPTV_IND,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,BOND_IND,BOOL
rpt-network-plng,rpt_network_data,bbc_port_consumption,SPEED_RESTRICTED,BOOL
rpt-network-plng,rpt_network_data,bbc_port_consumption,DATUM,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,SITE_WTNS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,EMPTY_SLOTS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,FUT_EQUIPPABLE_SLOTS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,FUT_EQUIPPABLE_PORTS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,TOTAL_EQUIPPED,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,IN_USE,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,BB_WKG,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,IPTV_WKG,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVAILABLE,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,DEFECTIVE,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,UNAVAILABLE,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,OTHER,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVAIL_BONDINGPORTSPAIRS,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,VDSL2_AVAIL,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,VDSL2_WKG,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,EQUIP_UTIL,FLOAT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,IN_USE_1WEEK_CHANGE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IN_USE_1MONTH_CHANGE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IN_USE_6MONTH_CHANGE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,WEEKLY_GROWTH_TREND,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,STRATEGY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,PORTS_TO_SEND,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,SHELF_NEEDED,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DAYS_TO_EXHAUST_PORTS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,DAYS_TO_EXHAUST_SHELF,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,REPORT_TAB,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,START_DATE_BI,TIMESTAMP
rpt-network-plng,rpt_network_data,bbc_port_consumption,END_DATE_BI,TIMESTAMP
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_LEG_CMP,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,EXEC_RPT_CAT,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,EXEC_REPORT_DATE,TIMESTAMP
rpt-network-plng,rpt_network_data,bbc_port_consumption,DIVISION,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,REGION,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,STATE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,KEY_ELEMENT_ID,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,CAPACITY_BPS_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PEAK_IN_UTIL_BI,FLOAT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PEAK_OUT_UTIL_BI,FLOAT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,GREATER_PEAK,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,THRESHOLD_CORE_ACCESS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,THRESHOLD_5_OF_14_DAYS_BI,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,THRESHOLD_10_OF_14_DAYS_BI,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_OFFICE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_OFFICE_CLLI,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,VENDOR,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,MODEL2,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_FEEDER_TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,ID_NAME,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,CIRCUIT_ID,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,ISYS_CONNECTION_TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,VIRTUAL_STATUS,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_NTWK_LEVEL,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_CATEGORY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_SUBTYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_CO_RT,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_NTWK_LEVEL,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_CATEGORY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_TYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,INFERRED_SUBTYPE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,ELEMENT,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,ID,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PORT_ID,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,IP_ADDR,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,PEAK_IN_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVG_IN_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PEAK_OUT_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVG_OUT_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVG_IN_UTIL_BI,FLOAT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,AVG_OUT_UTIL_BI,FLOAT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PERCENTILE_95_IN_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,PERCENTILE_95_OUT_RATE_BI,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_MARTENS_DEV,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_DEV_CLLI,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,FW_EXP_COST_CENTER,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,FW_COMPANY_SAP_ID,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,FW_COMPANY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_USERID,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_TM_STMP,TIMESTAMP
rpt-network-plng,rpt_network_data,bbc_port_consumption,TOTAL_POLLED_INTERFACES,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,CONGESTED_CORE_INTERFACE_CNT,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,CONGESTED_ACCESS_INTERFACE_CNT,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,CONGESTED_CORE_ACCESS_IF_CNT,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,NR_CONG_CORE_ACCESS_IF_CNT,INT64
rpt-network-plng,rpt_network_data,bbc_port_consumption,HOURLY_TABLE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,POLLING_SOURCE,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,IF_COMMENT,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,POST_SPINOFF_COMPANY,STRING
rpt-network-plng,rpt_network_data,bbc_port_consumption,REPORT_DATE,DATE
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,WIRE_CENTER_NAME,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,ST_CD,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,WIRE_CENTER_CD,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,REGION_NAME,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,LEGACY_COMPANY,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,EXCHANGE_NAME,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,WR_CTR_CD,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,EXCHANGE_CD,INT64
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,COMPANY_ID,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,T_CO_ID,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,WIRE_CENTER_HASH,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,EXCHANGE_HASH,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,LOAD_SRC,STRING
rpt-network-plng,rpt_network_data,IF_UTIL_WIRE_CENTER_REF,LOAD_DATE,DATE
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,SWITCH_TYPE,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,SWITCH_TYPE_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REGION,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REGION_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,SWITCH_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,CLLI_NAME_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REPORT_DATE,DATE
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,YEAR,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,MONTH,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,DAY,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,HOUR,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,TRK_GRP,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,TRK_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,TRK_GRP_SELECT,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,USAGE_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,USAGE_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,MAINT_USAGE,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,INC_ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,OUT_ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,OVERFLOW,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,HOLD_TIME,FLOAT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,HOLD_TIME_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,HOLD_TIME_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REQ_CT_P01,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REQ_CT_P05,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,CIR_IN_SVC,INT64
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,TRKGRP_SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,STATE,STRING
rpt-network-plng,rpt_network_data,VCE_DCOW_TG_HRLYDETAIL,REGION_CODE,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,SWITCH_TYPE,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,SWITCH_TYPE_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REGION,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REGION_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,SWITCH_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,CLLI_NAME_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REPORT_DATE,DATE
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,YEAR,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,MONTH,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,DAY,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,HOUR,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRK_GRP,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRK_GRP_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRK_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRK_GRP_SELECT,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,OM_GROUP_INDEX,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TGN,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,USAGE_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,USAGE_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,MAINT_USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,MAINT_USAGE_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,MAINT_USAGE_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,SYS_BSY_USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,INC_ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,OUT_ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,OVERFLOW,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,HOLD_TIME,FLOAT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,HOLD_TIME_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,HOLD_TIME_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REQ_CT_P01,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REQ_CT_P05,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,CIR_IN_SVC,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,NCCT,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRKGRP_SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,PCT_USG,FLOAT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,CAPACITY,INT64
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRKGRP_ID,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,STATE,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,TRKGRPID_SELECT,STRING
rpt-network-plng,rpt_network_data,VCE_D100_TG_HRLYDETAIL,REGION_CODE,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,SWITCH_TYPE,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,SWITCH_TYPE_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REGION,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REGION_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,SWITCH_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,CLLI_NAME_DESCRIPTION,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REPORT_DATE,DATE
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,HOUR,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,TRK_GRP_SELECT,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,TGN,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,USAGE_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,USAGE_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,MAINT_USAGE,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,MAINT_USAGE_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,MAINT_USAGE_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,ICATTS,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,OUT_ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,ATTS,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,OVERFLOW,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,HOLD_TIME,FLOAT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,HOLD_TIME_SEC,FLOAT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,HOLD_TIME_MIN_SEC,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REQ_CT_P01,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REQ_CT_P05,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,TRKGRP_SWITCH,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,TRKGRP_ID,INT64
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,STATE,STRING
rpt-network-plng,rpt_network_data,VCE_EWSD_TG_HRLYDETAIL,REGION_CODE,STRING
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,CLLI_A,STRING
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,CLLI_Z,STRING
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,SYS_CATEGORY,STRING
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,FC_QTY,INT64
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,FC_RATE_SUM,INT64
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,FC_RATE_1_SUM,INT64
rpt-network-plng,rpt_network_data,sqrl_wave_path_trending_path,FC_RATE_10_SUM,INT64
